t1,ch1
-14.41916679,0.005168028
-14.39916679,0.002179289
-14.37916679,0.006164274
-14.35916679,0.006164274
-14.33916679,-0.00080945
-14.31916679,-0.00080945
-14.29916679,0.008156767
-14.27916679,0.01014926
-14.25916679,0.008156767
-14.23916679,0.006164274
-14.21916679,-0.035678072
-14.19916679,0.009153013
-14.17916679,0.007160521
-14.15916679,0.008156767
-14.13916679,0.000186796
-14.11916679,0.002179289
-14.09916679,0.005168028
-14.07916679,0.006164274
-14.05916679,0.003175535
-14.03916679,0.004171782
-14.01916679,0.000186796
-13.99916679,0.005168028
-13.97916679,0.003175535
-13.95916679,0.005168028
-13.93916679,0.009153013
-13.91916679,-0.00080945
-13.89916679,0.007160521
-13.87916679,0.005168028
-13.85916679,0.004171782
-13.83916679,0.002179289
-13.81916679,0.005168028
-13.79916679,0.004171782
-13.77916679,0.002179289
-13.75916679,0.005168028
-13.73916679,0.011145506
-13.71916679,-0.002801943
-13.69916679,-0.003798189
-13.67916679,0.009153013
-13.65916679,0.004171782
-13.63916679,-0.002801943
-13.61916679,0.005168028
-13.59916679,0.005168028
-13.57916679,0.002179289
-13.55916679,0.007160521
-13.53916679,-0.002801943
-13.51916679,0.012141752
-13.49916679,0.002179289
-13.47916679,0.024096708
-13.45916679,0.022104216
-13.43916679,0.006164274
-13.41916679,0.009153013
-13.39916679,-0.00080945
-13.37916679,0.01014926
-13.35916679,0.004171782
-13.33916679,0.001183043
-13.31916679,0.008156767
-13.29916679,0.006164274
-13.27916679,0.008156767
-13.25916679,0.003175535
-13.23916679,0.000186796
-13.21916679,0.005168028
-13.19916679,0.004171782
-13.17916679,0.01014926
-13.15916679,0.008156767
-13.13916679,0.013137999
-13.11916679,-0.035678072
-13.09916679,0.005168028
-13.07916679,0.004171782
-13.05916679,-0.026711855
-13.03916679,0.006164274
-13.01916679,0.003175535
-12.99916679,0.009153013
-12.97916679,0.003175535
-12.95916679,0.006164274
-12.93916679,0.006164274
-12.91916679,0.002179289
-12.89916679,0.007160521
-12.87916679,0.005168028
-12.85916679,0.005168028
-12.83916679,0.004171782
-12.81916679,0.009153013
-12.79916679,0.006164274
-12.77916679,0.002179289
-12.75916679,0.000186796
-12.73916679,-0.031693087
-12.71916679,0.001183043
-12.69916679,-0.001805696
-12.67916679,0.001183043
-12.65916679,-0.00080945
-12.63916679,0.005168028
-12.61916679,0.005168028
-12.59916679,0.007160521
-12.57916679,0.01014926
-12.55916679,0.005168028
-12.53916679,0.006164274
-12.51916679,0.004171782
-12.49916679,-0.005790682
-12.47916679,-0.00080945
-12.45916679,0.002179289
-12.43916679,-0.003798189
-12.41916679,0.012141752
-12.39916679,0.002179289
-12.37916679,-0.001805696
-12.35916679,0.002179289
-12.33916679,0.007160521
-12.31916679,0.007160521
-12.29916679,0.006164274
-12.27916679,0.001183043
-12.25916679,-0.001805696
-12.23916679,-0.002801943
-12.21916679,0.007160521
-12.19916679,-0.00080945
-12.17916679,0.002179289
-12.15916679,0.002179289
-12.13916679,0.000186796
-12.11916679,0.003175535
-12.09916679,0.002179289
-12.07916679,-0.00080945
-12.05916679,-0.00080945
-12.03916679,0.002179289
-12.01916679,0.003175535
-11.99916679,0.006164274
-11.97916679,0.000186796
-11.95916679,0.001183043
-11.93916679,0.01014926
-11.91916679,-0.00080945
-11.89916679,0.001183043
-11.87916679,0.04003665
-11.85916679,0.004171782
-11.83916679,-0.003798189
-11.81916679,0.003175535
-11.79916679,0.001183043
-11.77916679,-0.002801943
-11.75916679,0.005168028
-11.73916679,0.001183043
-11.71916679,0.002179289
-11.69916679,-0.003798189
-11.67916679,0.008156767
-11.65916679,-0.00080945
-11.63916679,-0.001805696
-11.61916679,0.007160521
-11.59916679,-0.00080945
-11.57916679,-0.00080945
-11.55916679,0.000186796
-11.53916679,-0.001805696
-11.51916679,-0.00080945
-11.49916679,0.002179289
-11.47916679,0.001183043
-11.45916679,-0.00080945
-11.43916679,0.003175535
-11.41916679,0.000186796
-11.39916679,-0.002801943
-11.37916679,0.001183043
-11.35916679,0.004171782
-11.33916679,0.000186796
-11.31916679,-0.00080945
-11.29916679,0.000186796
-11.27916679,-0.001805696
-11.25916679,0.004171782
-11.23916679,-0.004794436
-11.21916679,0.004171782
-11.19916679,0.006164274
-11.17916679,-0.00080945
-11.15916679,0.005168028
-11.13916679,-0.00080945
-11.11916679,0.008156767
-11.09916679,0.003175535
-11.07916679,-0.00080945
-11.05916679,0.000186796
-11.03916679,0.001183043
-11.01916679,-0.00080945
-10.99916679,-0.00080945
-10.97916679,0.001183043
-10.95916679,0.003175535
-10.93916679,0.002179289
-10.91916679,0.004171782
-10.89916679,0.000186796
-10.87916679,0.003175535
-10.85916679,0.005168028
-10.83916679,0.002179289
-10.81916679,0.009153013
-10.79916679,0.004171782
-10.77916679,0.004171782
-10.75916679,0.002179289
-10.73916679,0.004171782
-10.71916679,0.002179289
-10.69916679,-0.009775667
-10.67916679,-0.00080945
-10.65916679,0.002179289
-10.63916679,0.000186796
-10.61916679,0.007160521
-10.59916679,0.000186796
-10.57916679,0.005168028
-10.55916679,-0.00080945
-10.53916679,0.003175535
-10.51916679,-0.002801943
-10.49916679,0.006164274
-10.47916679,0.001183043
-10.45916679,-0.006786928
-10.43916679,0.001183043
-10.41916679,-0.00080945
-10.39916679,-0.207032442
-10.37916679,0.002179289
-10.35916679,0.004171782
-10.33916679,0.011145506
-10.31916679,-0.001805696
-10.29916679,-0.004794436
-10.27916679,0.005168028
-10.25916679,0.008156767
-10.23916679,0.01014926
-10.21916679,0.005168028
-10.19916679,0.001183043
-10.17916679,0.003175535
-10.15916679,0.008156767
-10.13916679,0.002179289
-10.11916679,0.004171782
-10.09916679,-0.00080945
-10.07916679,0.005168028
-10.05916679,0.001183043
-10.03916679,-0.028704348
-10.01916679,0.006164274
-9.999166792,0.003175535
-9.979166792,-0.001805696
-9.959166792,-0.00080945
-9.939166792,0.004171782
-9.919166792,0.006164274
-9.899166792,0.007160521
-9.879166792,0.002179289
-9.859166792,0.001183043
-9.839166792,-0.00080945
-9.819166792,0.002179289
-9.799166792,-0.00080945
-9.779166792,0.004171782
-9.759166792,0.000186796
-9.739166792,0.004171782
-9.719166792,0.007160521
-9.699166792,0.003175535
-9.679166792,-0.001805696
-9.659166792,-0.00080945
-9.639166792,-0.001805696
-9.619166792,0.002179289
-9.599166792,0.001183043
-9.579166792,0.002179289
-9.559166792,0.000186796
-9.539166792,0.005168028
-9.519166792,0.004171782
-9.499166792,0.003175535
-9.479166792,0.004171782
-9.459166792,0.005168028
-9.439166792,0.002179289
-9.419166792,0.003175535
-9.399166792,0.001183043
-9.379166792,0.002179289
-9.359166792,0.003175535
-9.339166792,0.011145506
-9.319166792,0.006164274
-9.299166792,0.002179289
-9.279166792,0.002179289
-9.259166792,0.007160521
-9.239166792,0.002179289
-9.219166792,0.001183043
-9.199166792,0.016126738
-9.179166792,0.000186796
-9.159166792,0.007160521
-9.139166792,0.002179289
-9.119166792,-0.002801943
-9.099166792,0.01014926
-9.079166792,0.004171782
-9.059166792,0.004171782
-9.039166792,0.003175535
-9.019166792,0.006164274
-8.999166792,0.006164274
-8.979166792,0.012141752
-8.959166792,0.004171782
-8.939166792,0.009153013
-8.919166792,0.016126738
-8.899166792,0.01014926
-8.879166792,0.005168028
-8.859166792,0.013137999
-8.839166792,0.012141752
-8.819166792,0.015130491
-8.799166792,0.007160521
-8.779166792,0.009153013
-8.759166792,0.01014926
-8.739166792,0.012141752
-8.719166792,0.006164274
-8.699166792,0.012141752
-8.679166792,0.007160521
-8.659166792,0.001183043
-8.639166792,0.004171782
-8.619166792,0.009153013
-8.599166792,0.005168028
-8.579166792,0.009153013
-8.559166792,0.013137999
-8.539166792,0.007160521
-8.519166792,0.003175535
-8.499166792,0.005168028
-8.479166792,0.000186796
-8.459166792,0.009153013
-8.439166792,0.003175535
-8.419166792,0.004171782
-8.399166792,0.01014926
-8.379166792,0.01014926
-8.359166792,0.002179289
-8.339166792,0.011145506
-8.319166792,0.007160521
-8.299166792,0.013137999
-8.279166792,0.011145506
-8.259166792,0.01014926
-8.239166792,0.014134245
-8.219166792,0.004171782
-8.199166792,0.003175535
-8.179166792,0.006164274
-8.159166792,0.011145506
-8.139166792,0.008156767
-8.119166792,0.006164274
-8.099166792,0.007160521
-8.079166792,0.002179289
-8.059166792,0.01014926
-8.039166792,0.016126738
-8.019166792,0.007160521
-7.999166792,0.007160521
-7.979166792,0.011145506
-7.959166792,0.012141752
-7.939166792,0.008156767
-7.919166792,0.008156767
-7.899166792,0.009153013
-7.879166792,0.008156767
-7.859166792,0.016126738
-7.839166792,0.019115477
-7.819166792,0.007160521
-7.799166792,0.012141752
-7.779166792,0.013137999
-7.759166792,0.013137999
-7.739166792,0.008156767
-7.719166792,0.008156767
-7.699166792,0.013137999
-7.679166792,0.008156767
-7.659166792,0.009153013
-7.639166792,0.006164274
-7.619166792,-0.010771914
-7.599166792,0.009153013
-7.579166792,0.008156767
-7.559166792,-0.003798189
-7.539166792,0.009153013
-7.519166792,0.004171782
-7.499166792,0.006164274
-7.479166792,0.005168028
-7.459166792,0.001183043
-7.439166792,0.007160521
-7.419166792,0.005168028
-7.399166792,0.009153013
-7.379166792,0.009153013
-7.359166792,0.009153013
-7.339166792,0.009153013
-7.319166792,0.013137999
-7.299166792,0.013137999
-7.279166792,0.016126738
-7.259166792,0.013137999
-7.239166792,0.006164274
-7.219166792,0.005168028
-7.199166792,0.015130491
-7.179166792,0.013137999
-7.159166792,0.01014926
-7.139166792,0.013137999
-7.119166792,0.011145506
-7.099166792,0.014134245
-7.079166792,0.009153013
-7.059166792,0.008156767
-7.039166792,0.011145506
-7.019166792,0.009153013
-6.999166792,0.015130491
-6.979166792,0.01014926
-6.959166792,0.009153013
-6.939166792,0.007160521
-6.919166792,0.006164274
-6.899166792,0.011145506
-6.879166792,0.009153013
-6.859166792,0.017122984
-6.839166792,0.016126738
-6.819166792,0.009153013
-6.799166792,0.013137999
-6.779166792,0.015130491
-6.759166792,0.006164274
-6.739166792,0.008156767
-6.719166792,0.014134245
-6.699166792,0.015130491
-6.679166792,0.01014926
-6.659166792,0.01014926
-6.639166792,0.002179289
-6.619166792,0.009153013
-6.599166792,0.012141752
-6.579166792,0.009153013
-6.559166792,0.01014926
-6.539166792,0.01014926
-6.519166792,0.019115477
-6.499166792,0.009153013
-6.479166792,0.009153013
-6.459166792,0.009153013
-6.439166792,0.01014926
-6.419166792,0.007160521
-6.399166792,0.008156767
-6.379166792,0.009153013
-6.359166792,0.01014926
-6.339166792,0.008156767
-6.319166792,0.006164274
-6.299166792,0.01014926
-6.279166792,0.011145506
-6.259166792,0.005168028
-6.239166792,0.004171782
-6.219166792,0.006164274
-6.199166792,0.005168028
-6.179166792,0.017122984
-6.159166792,0.016126738
-6.139166792,0.005168028
-6.119166792,0.011145506
-6.099166792,0.006164274
-6.079166792,-0.00080945
-6.059166792,0.01014926
-6.039166792,0.01014926
-6.019166792,0.011145506
-5.999166792,0.014134245
-5.979166792,0.004171782
-5.959166792,0.007160521
-5.939166792,0.015130491
-5.919166792,0.014134245
-5.899166792,0.011145506
-5.879166792,0.014134245
-5.859166792,0.011145506
-5.839166792,0.008156767
-5.819166792,0.014134245
-5.799166792,0.011145506
-5.779166792,0.008156767
-5.759166792,0.014134245
-5.739166792,0.009153013
-5.719166792,0.005168028
-5.699166792,0.006164274
-5.679166792,0.013137999
-5.659166792,0.01014926
-5.639166792,-0.009775667
-5.619166792,0.017122984
-5.599166792,0.015130491
-5.579166792,0.007160521
-5.559166792,0.01014926
-5.539166792,0.012141752
-5.519166792,0.011145506
-5.499166792,0.01014926
-5.479166792,0.009153013
-5.459166792,0.011145506
-5.439166792,0.015130491
-5.419166792,0.008156767
-5.399166792,0.012141752
-5.379166792,0.011145506
-5.359166792,0.014134245
-5.339166792,0.009153013
-5.319166792,0.001183043
-5.299166792,0.012141752
-5.279166792,0.009153013
-5.259166792,0.006164274
-5.239166792,0.009153013
-5.219166792,0.007160521
-5.199166792,0.015130491
-5.179166792,0.009153013
-5.159166792,0.005168028
-5.139166792,0.013137999
-5.119166792,0.014134245
-5.099166792,-0.010771914
-5.079166792,0.003175535
-5.059166792,0.009153013
-5.039166792,0.013137999
-5.019166792,0.009153013
-4.999166792,0.011145506
-4.979166792,0.01014926
-4.959166792,0.01014926
-4.939166792,0.014134245
-4.919166792,0.014134245
-4.899166792,0.009153013
-4.879166792,0.011145506
-4.859166792,0.014134245
-4.839166792,0.006164274
-4.819166792,0.009153013
-4.799166792,0.009153013
-4.779166792,0.011145506
-4.759166792,0.011145506
-4.739166792,0.006164274
-4.719166792,0.01014926
-4.699166792,0.01014926
-4.679166792,0.011145506
-4.659166792,0.007160521
-4.639166792,0.007160521
-4.619166792,0.013137999
-4.599166792,0.007160521
-4.579166792,0.015130491
-4.559166792,0.019115477
-4.539166792,0.017122984
-4.519166792,0.012141752
-4.499166792,0.017122984
-4.479166792,0.014134245
-4.459166792,0.012141752
-4.439166792,0.014134245
-4.419166792,0.011145506
-4.399166792,0.005168028
-4.379166792,0.005168028
-4.359166792,0.011145506
-4.339166792,0.011145506
-4.319166792,0.011145506
-4.299166792,0.012141752
-4.279166792,0.004171782
-4.259166792,0.009153013
-4.239166792,0.014134245
-4.219166792,0.017122984
-4.199166792,0.016126738
-4.179166792,0.013137999
-4.159166792,0.008156767
-4.139166792,0.012141752
-4.119166792,0.013137999
-4.099166792,0.016126738
-4.079166792,0.015130491
-4.059166792,0.020111723
-4.039166792,0.012141752
-4.019166792,0.020111723
-3.999166792,0.009153013
-3.979166792,0.008156767
-3.959166792,0.008156767
-3.939166792,0.012141752
-3.919166792,0.016126738
-3.899166792,0.014134245
-3.879166792,0.011145506
-3.859166792,0.011145506
-3.839166792,0.012141752
-3.819166792,0.01014926
-3.799166792,0.016126738
-3.779166792,0.015130491
-3.759166792,0.008156767
-3.739166792,0.016126738
-3.719166792,0.011145506
-3.699166792,0.013137999
-3.679166792,0.014134245
-3.659166792,0.014134245
-3.639166792,0.01014926
-3.619166792,0.013137999
-3.599166792,0.016126738
-3.579166792,0.013137999
-3.559166792,0.009153013
-3.539166792,0.009153013
-3.519166792,0.016126738
-3.499166792,0.002179289
-3.479166792,0.011145506
-3.459166792,0.014134245
-3.439166792,0.015130491
-3.419166792,0.01014926
-3.399166792,0.013137999
-3.379166792,0.013137999
-3.359166792,0.017122984
-3.339166792,0.020111723
-3.319166792,0.011145506
-3.299166792,0.014134245
-3.279166792,0.014134245
-3.259166792,0.012141752
-3.239166792,0.012141752
-3.219166792,0.006164274
-3.199166792,0.006164274
-3.179166792,0.006164274
-3.159166792,0.009153013
-3.139166792,0.01811923
-3.119166792,0.013137999
-3.099166792,0.014134245
-3.079166792,0.005168028
-3.059166792,0.011145506
-3.039166792,0.011145506
-3.019166792,0.01014926
-2.999166792,0.017122984
-2.979166792,0.007160521
-2.959166792,0.009153013
-2.939166792,0.01811923
-2.919166792,0.016126738
-2.899166792,0.01811923
-2.879166792,0.016126738
-2.859166792,0.012141752
-2.839166792,0.015130491
-2.819166792,0.009153013
-2.799166792,0.012141752
-2.779166792,0.006164274
-2.759166792,0.011145506
-2.739166792,0.011145506
-2.719166792,0.013137999
-2.699166792,0.008156767
-2.679166792,0.01811923
-2.659166792,0.012141752
-2.639166792,0.011145506
-2.619166792,0.016126738
-2.599166792,0.014134245
-2.579166792,0.012141752
-2.559166792,0.008156767
-2.539166792,0.009153013
-2.519166792,0.012141752
-2.499166792,0.021107969
-2.479166792,0.024096708
-2.459166792,0.038044157
-2.439166792,0.021107969
-2.419166792,0.024096708
-2.399166792,0.02907794
-2.379166792,0.022104216
-2.359166792,0.017122984
-2.339166792,0.014134245
-2.319166792,0.021107969
-2.299166792,0.027085447
-2.279166792,0.017122984
-2.259166792,0.021107969
-2.239166792,0.025092955
-2.219166792,0.022104216
-2.199166792,0.021107969
-2.179166792,0.025092955
-2.159166792,0.026089201
-2.139166792,0.01811923
-2.119166792,0.024096708
-2.099166792,0.025092955
-2.079166792,0.021107969
-2.059166792,0.023100462
-2.039166792,0.024096708
-2.019166792,0.017122984
-1.999166792,0.020111723
-1.979166792,0.024096708
-1.959166792,0.025092955
-1.939166792,0.027085447
-1.919166792,0.021107969
-1.899166792,0.026089201
-1.879166792,0.025092955
-1.859166792,0.023100462
-1.839166792,0.025092955
-1.819166792,0.01811923
-1.799166792,0.015130491
-1.779166792,0.022104216
-1.759166792,0.021107969
-1.739166792,0.020111723
-1.719166792,0.01811923
-1.699166792,0.017122984
-1.679166792,0.024096708
-1.659166792,0.021107969
-1.639166792,0.021107969
-1.619166792,0.020111723
-1.599166792,0.016126738
-1.579166792,0.027085447
-1.559166792,0.024096708
-1.539166792,0.022104216
-1.519166792,0.01811923
-1.499166792,0.022104216
-1.479166792,0.022104216
-1.459166792,0.019115477
-1.439166792,0.017122984
-1.419166792,0.020111723
-1.399166792,0.019115477
-1.379166792,0.01811923
-1.359166792,0.020111723
-1.339166792,0.027085447
-1.319166792,0.027085447
-1.299166792,0.021107969
-1.279166792,0.016126738
-1.259166792,0.021107969
-1.239166792,0.013137999
-1.219166792,0.023100462
-1.199166792,0.020111723
-1.179166792,0.028081694
-1.159166792,0.020111723
-1.139166792,0.026089201
-1.119166792,0.015130491
-1.099166792,0.01811923
-1.079166792,0.020111723
-1.059166792,0.01811923
-1.039166792,0.020111723
-1.019166792,0.021107969
-0.999166792,0.020111723
-0.979166792,0.021107969
-0.959166792,0.013137999
-0.939166792,0.020111723
-0.919166792,0.023100462
-0.899166792,0.022104216
-0.879166792,0.015130491
-0.859166792,0.023100462
-0.839166792,0.024096708
-0.819166792,0.012141752
-0.799166792,0.01811923
-0.779166792,0.01811923
-0.759166792,0.013137999
-0.739166792,0.019115477
-0.719166792,0.022104216
-0.699166792,0.021107969
-0.679166792,0.011145506
-0.659166792,0.021107969
-0.639166792,0.025092955
-0.619166792,0.028081694
-0.599166792,0.025092955
-0.579166792,0.019115477
-0.559166792,0.024096708
-0.539166792,0.027085447
-0.519166792,0.017122984
-0.499166792,0.019115477
-0.479166792,0.016126738
-0.459166792,0.026089201
-0.439166792,0.020111723
-0.419166792,0.021107969
-0.399166792,0.023100462
-0.379166792,0.019115477
