time,milk,no_milk
135.5,0.868674297,0.62669899
136,0.86370512,0.62669899
136.5,0.868674297,0.631667862
137,0.858735943,0.62669899
137.5,0.86370512,0.62669899
138,0.858735943,0.62669899
138.5,0.848797588,0.62669899
139,0.858735943,0.621730118
139.5,0.858735943,0.621730118
140,0.868674297,0.631667862
140.5,0.86370512,0.621730118
141,0.86370512,0.621730118
141.5,0.858735943,0.62669899
142,0.858735943,0.621730118
142.5,0.858735943,0.631667862
143,0.86370512,0.631667862
143.5,0.86370512,0.631667862
144,0.858735943,0.62669899
144.5,0.873643475,0.636636734
145,0.858735943,0.62669899
145.5,0.868674297,0.631667862
146,0.868674297,0.631667862
146.5,0.86370512,0.621730118
147,0.86370512,0.631667862
147.5,0.86370512,0.636636734
148,0.868674297,0.631667862
148.5,0.86370512,0.636636734
149,0.873643475,0.641605606
149.5,0.868674297,0.636636734
150,0.868674297,0.631667862
150.5,0.868674297,0.641605606
151,0.868674297,0.641605606
151.5,0.86370512,0.636636734
152,0.873643475,0.641605606
152.5,0.868674297,0.641605606
153,0.868674297,0.636636734
153.5,0.868674297,0.631667862
154,0.868674297,0.641605606
154.5,0.873643475,0.641605606
155,0.868674297,0.636636734
155.5,0.868674297,0.65154335
156,0.873643475,0.641605606
156.5,0.873643475,0.636636734
157,0.868674297,0.62669899
157.5,0.868674297,0.636636734
158,0.878612652,0.646574478
158.5,0.868674297,0.641605606
159,0.878612652,0.641605606
159.5,0.873643475,0.646574478
160,0.873643475,0.641605606
160.5,0.878612652,0.65154335
161,0.868674297,0.641605606
161.5,0.873643475,0.646574478
162,0.873643475,0.646574478
162.5,0.883581829,0.656512222
163,0.883581829,0.646574478
163.5,0.878612652,0.656512222
164,0.873643475,0.65154335
164.5,0.873643475,0.656512222
165,0.878612652,0.65154335
165.5,0.878612652,0.65154335
166,0.878612652,0.656512222
166.5,0.883581829,0.646574478
167,0.883581829,0.65154335
167.5,0.873643475,0.65154335
168,0.868674297,0.646574478
168.5,0.878612652,0.646574478
169,0.883581829,0.656512222
169.5,0.878612652,0.65154335
170,0.883581829,0.661481094
170.5,0.888551006,0.661481094
171,0.883581829,0.65154335
171.5,0.873643475,0.656512222
172,0.883581829,0.656512222
172.5,0.883581829,0.656512222
173,0.878612652,0.65154335
173.5,0.883581829,0.656512222
174,0.893520184,0.666449966
174.5,0.888551006,0.661481094
175,0.888551006,0.656512222
175.5,0.888551006,0.656512222
176,0.888551006,0.661481094
176.5,0.883581829,0.656512222
177,0.878612652,0.656512222
177.5,0.883581829,0.661481094
178,0.883581829,0.65154335
178.5,0.888551006,0.661481094
179,0.888551006,0.661481094
179.5,0.893520184,0.661481094
180,0.888551006,0.666449966
180.5,0.883581829,0.661481094
181,0.888551006,0.671418839
181.5,0.888551006,0.661481094
182,0.893520184,0.666449966
182.5,0.893520184,0.661481094
183,0.893520184,0.671418839
183.5,0.888551006,0.666449966
184,0.888551006,0.666449966
184.5,0.888551006,0.666449966
185,0.893520184,0.666449966
185.5,0.898489361,0.661481094
186,0.893520184,0.661481094
186.5,0.883581829,0.666449966
187,0.893520184,0.671418839
187.5,0.888551006,0.671418839
188,0.893520184,0.666449966
188.5,0.893520184,0.666449966
189,0.888551006,0.666449966
189.5,0.898489361,0.671418839
190,0.893520184,0.661481094
190.5,0.898489361,0.666449966
191,0.898489361,0.666449966
191.5,0.883581829,0.676387711
192,0.903458538,0.686325455
192.5,0.888551006,0.686325455
193,0.888551006,0.671418839
193.5,0.898489361,0.676387711
194,0.893520184,0.676387711
194.5,0.893520184,0.676387711
195,0.893520184,0.671418839
195.5,0.898489361,0.676387711
196,0.903458538,0.681356583
196.5,0.893520184,0.676387711
197,0.898489361,0.681356583
197.5,0.903458538,0.686325455
198,0.903458538,0.691294327
198.5,0.898489361,0.676387711
199,0.893520184,0.681356583
199.5,0.898489361,0.691294327
200,0.893520184,0.676387711
200.5,0.898489361,0.686325455
201,0.903458538,0.691294327
201.5,0.898489361,0.681356583
202,0.893520184,0.676387711
202.5,0.903458538,0.686325455
203,0.898489361,0.686325455
203.5,0.903458538,0.681356583
204,0.903458538,0.681356583
204.5,0.903458538,0.676387711
205,0.903458538,0.686325455
205.5,0.903458538,0.686325455
