t1,ch1,t2,ch2
-15.0,0.20777372360229493,-14.999999875,-0.024223251342773436
-14.98,0.20777372360229493,-14.979999875,-0.014285507202148436
-14.96,0.20777372360229493,-14.959999875000001,-0.019254379272460938
-14.94,0.21771207809448243,-14.939999875,-0.019254379272460938
-14.92,0.21771207809448243,-14.919999875,-0.019254379272460938
-14.9,0.22765043258666995,-14.899999875,-0.014285507202148436
-14.88,0.22765043258666995,-14.879999875000001,-0.019254379272460938
-14.86,0.22765043258666995,-14.859999875,-0.019254379272460938
-14.84,0.21771207809448243,-14.839999875,-0.014285507202148436
-14.82,0.2226812553405762,-14.819999875,-0.024223251342773436
-14.8,0.2326196098327637,-14.799999875000001,-0.014285507202148436
-14.780000000000001,0.2425579643249512,-14.779999875000001,-0.014285507202148436
-14.76,0.23758878707885744,-14.759999875,-0.009316635131835936
-14.74,0.24752714157104494,-14.739999875,-0.019254379272460938
-14.72,0.2524963188171387,-14.719999875000001,-0.009316635131835936
-14.700000000000001,0.25746549606323244,-14.699999875000001,-0.014285507202148436
-14.68,0.2524963188171387,-14.679999875,-0.0043477630615234375
-14.66,0.2624346733093262,-14.659999875,-0.019254379272460938
-14.64,0.2624346733093262,-14.639999875,-0.014285507202148436
-14.620000000000001,0.25746549606323244,-14.619999875000001,-0.019254379272460938
-14.6,0.2624346733093262,-14.599999875,-0.0043477630615234375
-14.58,0.2773422050476074,-14.579999875,-0.009316635131835936
-14.56,0.26740385055541993,-14.559999875,-0.029192123413085937
-14.540000000000001,0.2773422050476074,-14.539999875000001,-0.014285507202148436
-14.52,0.2773422050476074,-14.519999875,-0.009316635131835936
-14.5,0.2773422050476074,-14.499999875,-0.019254379272460938
-14.48,0.2773422050476074,-14.479999875,-0.009316635131835936
-14.46,0.2723730278015137,-14.459999875000001,-0.014285507202148436
-14.44,0.2872805595397949,-14.439999875,-0.014285507202148436
-14.42,0.2872805595397949,-14.419999875,-0.024223251342773436
-14.4,0.2872805595397949,-14.399999875,-0.014285507202148436
-14.38,0.29224973678588867,-14.379999875000001,-0.019254379272460938
-14.36,0.3021880912780762,-14.359999875,-0.009316635131835936
-14.34,0.29224973678588867,-14.339999875,-0.009316635131835936
-14.32,0.3021880912780762,-14.319999875,-0.014285507202148436
-14.3,0.3021880912780762,-14.299999875000001,-0.024223251342773436
-14.280000000000001,0.30715726852416997,-14.279999875000001,-0.009316635131835936
-14.26,0.2972189140319824,-14.259999875,-0.014285507202148436
-14.24,0.3121264457702637,-14.239999875,-0.014285507202148436
-14.22,0.3121264457702637,-14.219999875000001,-0.019254379272460938
-14.200000000000001,0.30715726852416997,-14.199999875000001,-0.009316635131835936
-14.18,0.406540813446045,-14.179999875,-0.019254379272460938
-14.16,0.4910168266296387,-14.159999875,-0.014285507202148436
-14.14,0.605307903289795,-14.139999875,-0.019254379272460938
-14.120000000000001,0.684814739227295,-14.119999875000001,-0.029192123413085937
-14.1,0.7742599296569824,-14.099999875,-0.019254379272460938
-14.08,0.8537667655944825,-14.079999875,-0.019254379272460938
