freq,gain,phase
0.998377799987793,-0.20717576017206546,-6.8126670467700325
1.1175870895385742,-0.23440404209796314,-7.616414946218505
1.2516975402832031,-0.2508015417694125,-8.516159934538102
1.4156103134155273,-0.2850148345626484,-9.599771687589389
1.5795230865478516,-0.3145343855744549,-10.692372067577907
1.773238182067871,-0.35634242260995186,-11.983690100911884
1.996755599975586,-0.4054869674803423,-13.410713264018584
2.2351741790771484,-0.46728660678113076,-14.922851425813043
2.518296241760254,-0.5484606909219636,-16.718394098658862
2.816319465637207,-0.6407862798822849,-18.529784044479424
3.159046173095703,-0.7484096806641103,-20.55540716227893
3.546476364135742,-0.8893074099138164,-22.804645198837946
3.978610038757324,-1.0599286783606863,-25.24045093987189
4.470348358154297,-1.2579115758301422,-27.863701874384653
5.0067901611328125,-1.4899141964557263,-30.56863814362605
5.617737770080566,-1.7562832376253628,-33.514598719157696
6.303191184997559,-2.0855291509711895,-36.54559114759564
7.078051567077637,-2.4740716888881895,-39.65984795086921
7.942318916320801,-2.896411209692383,-42.927496530743625
8.910894393920898,-3.3775112540179126,-46.11176789740087
9.998679161071777,-3.9192936733890056,-49.38658641969027
11.220574378967285,-4.5303105766865,-52.57713646990892
12.59148120880127,-5.201463868336385,-55.72572529604135
14.126300811767578,-5.905092113645576,-58.691096069161475
15.854835510253906,-6.62964870370515,-61.53449641214145
17.777085304260254,-7.389341463096475,-64.15006091513052
19.95265483856201,-8.183701264127428,-66.67948960223922
22.38154411315918,-9.004396083089969,-69.1208254929723
25.12335777282715,-9.844384667837415,-71.40074650406653
28.178095817565918,-10.723132425327703,-73.43958474546362
31.620264053344727,-11.594536303745517,-75.46895167602878
35.47966480255127,-12.477305910563814,-77.26817968928806
39.81590270996094,-13.39978697451289,-78.85289723314968
44.67368125915527,-14.299966134650576,-80.21558669583372
50.11260509490967,-15.231287600783245,-81.89450066621262
56.236982345581055,-16.13857281746818,-83.5714895419269
63.09151649475098,-17.05389264291476,-84.64136688383834
70.79541683197021,-17.985724179943514,-85.84826641194202
79.43809032440186,-18.92815766362602,-86.93940870260747
89.12384510040283,-19.90044572385543,-88.44602917747146
100.00169277191162,-20.841908598932363,-89.74634789614343
112.20574378967285,-21.70477236267145,-90.9763623449488
125.89991092681885,-22.709596426182678,-92.60577183437172
141.24810695648193,-23.51408150752437,-93.75865823974
158.48875045776367,-24.46379312568704,-94.02981602334266
177.83045768737793,-25.339596927170412,-96.60999481151313
199.52654838562012,-26.407024589462015,-97.52045646718754
223.8750457763672,-27.15798799681419,-99.5587450627636
251.18887424468994,-28.1653144991822,-101.80614703196864
281.84056282043457,-29.03067796756686,-103.57836200655139
316.23244285583496,-30.130122511718294,-105.08896488894624
354.81154918670654,-31.067303818116073,-108.01045414811206
398.11432361602783,-32.13690821650598,-110.93390421968425
446.67720794677734,-33.0372387089348,-112.91400059372965
501.18565559387207,-33.853355183083124,-116.79289563969458
562.3400211334229,-35.16603032263113,-119.09434304719281
630.9598684310913,-36.03161207320167,-123.02066475187874
707.9392671585083,-37.205074762680724,-123.06842480138612
794.3212985992432,-37.96476669759929,-129.21415644232263
891.2533521652222,-38.76604813955625,-130.4560988475757
1000.0020265579224,-39.94059537378413,-142.04182691284765
1122.012734413147,-41.45724600660703,-140.88284244971493
1258.9246034622192,-42.37432133521061,-148.68485185173196
1412.5406742095947,-43.364329547087436,-153.31867292367158
1584.8875045776367,-51.51924324422767,-164.47186935672903
1778.2747745513916,-51.10579009027707,-139.85500167401827
1995.2654838562012,-50.48415174233809,-161.763701903765
2238.720655441284,-52.01943379904914,-170.08395938647752
2511.8887424468994,-56.134702275159924,-132.67833138065362
2818.375825881958,-69.24653006066605,-124.24996125072165
3162.279725074768,-58.68882985007869,173.1735462150127
3548.1303930282593,-57.67128106185762,-144.14351799656322
3981.068730354309,-61.326522614428114,-177.7030121566759
4466.831684112549,-55.62690252526331,-157.7071345493794
5011.871457099915,-55.5379152506086,175.79902831931693
5623.415112495422,-63.43290451975776,112.27075811824827
6309.568881988525,-65.58901914447321,38.26465626097354
7079.452276229858,-52.69574198130513,163.27713072304712
7943.287491798401,-59.317372684055854,110.6080910355331
8912.503719329834,-45.77492040043232,177.02395527806874
10000.00536441803,-45.74047710394681,-156.1609083428455
11220.186948776245,-48.89656699450605,156.3234096901189
12589.260935783386,-49.677402472839624,160.17938935662542
14125.37693977356,-48.879897169890256,-169.30442158624427
15848.934650421143,-45.991180104463815,169.12711615563876
17782.792448997498,-48.5021514045289,179.08229229988524
19952.625036239624,-48.16667070239063,170.67467694643605
22387.20655441284,-49.10876892058394,152.95861554754126
25118.857622146606,-52.23562028712755,-173.82160328259246
28183.83276462555,-45.45064743931863,-170.0900550761556
31622.782349586487,-50.35495018557399,163.07811803895407
35481.33373260498,-47.297323130268374,166.4453322717712
39810.71710586548,-48.86028323652325,-172.43195474451616
44668.36154460907,-46.20238454075147,-147.40003069505434
50118.72947216034,-48.32988996889459,-178.7594377679452
56234.13622379303,-46.71203845226961,167.40698333080542
63095.733523368835,-45.22780339649317,-160.9658437430642
70794.58236694336,-45.5068252562406,157.12148530597463
79432.83021450043,-47.303997655831665,165.46284373303507
89125.09679794312,-52.037957281168865,128.5189600492903
99999.99403953552,-48.99326427261072,139.21704369750347
