t1,ch1,t2,ch2
-0.018470051044634377,-2.6296264839172365,-0.018469926044634377,-0.014285507202148436
-0.018450051044634378,-2.6246573066711427,-0.018449926044634378,-0.019254379272460938
-0.018430051044634375,-2.6246573066711427,-0.018429926044634375,-0.03416099548339844
-0.018410051044634376,-2.6296264839172365,-0.018409926044634376,-0.044098739624023435
-0.018390051044634377,-2.6296264839172365,-0.018389926044634377,-0.019254379272460938
-0.018370051044634378,-2.6345956611633303,-0.018369926044634378,-0.024223251342773436
-0.01835005104463438,-2.6345956611633303,-0.01834992604463438,-0.03416099548339844
-0.018330051044634376,-2.6296264839172365,-0.018329926044634376,-0.03416099548339844
-0.018310051044634377,-2.6246573066711427,-0.018309926044634377,-0.024223251342773436
-0.018290051044634378,-2.6296264839172365,-0.018289926044634378,-0.024223251342773436
-0.01827005104463438,-2.639564838409424,-0.01826992604463438,-0.029192123413085937
-0.018250051044634376,-2.619688129425049,-0.018249926044634376,-0.03416099548339844
-0.018230051044634377,-2.6296264839172365,-0.018229926044634377,-0.04906761169433593
-0.018210051044634377,-2.639564838409424,-0.018209926044634377,-0.024223251342773436
-0.01819005104463438,-2.6345956611633303,-0.018189926044634378,-0.019254379272460938
-0.018170051044634376,-2.6246573066711427,-0.018169926044634375,-0.044098739624023435
-0.018150051044634376,-2.6246573066711427,-0.018149926044634376,-0.059005355834960936
-0.018130051044634377,-2.639564838409424,-0.018129926044634377,-0.03912986755371094
-0.018110051044634378,-2.6296264839172365,-0.018109926044634378,-0.014285507202148436
-0.01809005104463438,-2.619688129425049,-0.01808992604463438,-0.024223251342773436
-0.018070051044634376,-2.6345956611633303,-0.018069926044634376,-0.059005355834960936
-0.018050051044634377,-2.639564838409424,-0.018049926044634377,-0.05403648376464844
-0.018030051044634378,-2.639564838409424,-0.018029926044634378,-0.024223251342773436
-0.01801005104463438,-2.639564838409424,-0.01800992604463438,-0.009316635131835936
-0.017990051044634376,-2.6345956611633303,-0.017989926044634376,-0.024223251342773436
-0.017970051044634377,-2.6345956611633303,-0.017969926044634377,-0.059005355834960936
-0.017950051044634378,-2.6345956611633303,-0.017949926044634378,-0.04906761169433593
-0.01793005104463438,-2.6246573066711427,-0.01792992604463438,-0.019254379272460938
-0.017910051044634376,-2.639564838409424,-0.017909926044634376,-0.024223251342773436
-0.017890051044634377,-2.6345956611633303,-0.017889926044634376,-0.03912986755371094
-0.017870051044634377,-2.6296264839172365,-0.017869926044634377,-0.04906761169433593
-0.017850051044634378,-2.6246573066711427,-0.017849926044634378,-0.03416099548339844
-0.017830051044634376,-2.6296264839172365,-0.017829926044634375,-0.024223251342773436
-0.017810051044634376,-2.6296264839172365,-0.017809926044634376,-0.014285507202148436
-0.017790051044634377,-2.6246573066711427,-0.017789926044634377,-0.044098739624023435
-0.017770051044634378,-2.6296264839172365,-0.017769926044634378,-0.04906761169433593
-0.01775005104463438,-2.6345956611633303,-0.01774992604463438,-0.029192123413085937
-0.017730051044634376,-2.6296264839172365,-0.017729926044634376,-0.019254379272460938
-0.017710051044634377,-2.6246573066711427,-0.017709926044634377,-0.03416099548339844
-0.017690051044634378,-2.6246573066711427,-0.017689926044634378,-0.059005355834960936
-0.01767005104463438,-2.6345956611633303,-0.01766992604463438,-0.03912986755371094
-0.017650051044634376,-2.6345956611633303,-0.017649926044634376,-0.029192123413085937
-0.017630051044634377,-2.6296264839172365,-0.017629926044634377,-0.019254379272460938
-0.017610051044634378,-2.6296264839172365,-0.017609926044634377,-0.024223251342773436
-0.01759005104463438,-2.644534015655518,-0.01758992604463438,-0.03912986755371094
-0.017570051044634376,-2.6345956611633303,-0.017569926044634376,-0.044098739624023435
-0.017550051044634377,-2.6296264839172365,-0.017549926044634376,-0.024223251342773436
-0.017530051044634377,-2.639564838409424,-0.017529926044634377,-0.029192123413085937
-0.017510051044634378,-2.6345956611633303,-0.017509926044634378,-0.03912986755371094
-0.017490051044634376,-2.6246573066711427,-0.017489926044634375,-0.024223251342773436
-0.017470051044634376,-2.6345956611633303,-0.017469926044634376,-0.04906761169433593
-0.017450051044634377,-2.6345956611633303,-0.017449926044634377,-0.03416099548339844
-0.017430051044634378,-2.6345956611633303,-0.017429926044634378,-0.03912986755371094
-0.01741005104463438,-2.6296264839172365,-0.01740992604463438,-0.024223251342773436
-0.017390051044634376,-2.6246573066711427,-0.017389926044634376,-0.03416099548339844
-0.017370051044634377,-2.6296264839172365,-0.017369926044634377,-0.03416099548339844
-0.017350051044634378,-2.6296264839172365,-0.017349926044634378,-0.019254379272460938
-0.01733005104463438,-2.6246573066711427,-0.01732992604463438,-0.029192123413085937
-0.017310051044634376,-2.6296264839172365,-0.017309926044634376,-0.024223251342773436
-0.017290051044634377,-2.6246573066711427,-0.017289926044634377,-0.03416099548339844
-0.017270051044634378,-2.6296264839172365,-0.017269926044634377,-0.03912986755371094
-0.01725005104463438,-2.6296264839172365,-0.01724992604463438,-0.029192123413085937
-0.017230051044634376,-2.6296264839172365,-0.017229926044634376,-0.03416099548339844
-0.017210051044634377,-2.6246573066711427,-0.017209926044634376,-0.024223251342773436
-0.017190051044634377,-2.6296264839172365,-0.017189926044634377,-0.029192123413085937
-0.017170051044634378,-2.6296264839172365,-0.017169926044634378,-0.03416099548339844
-0.017150051044634376,-2.6345956611633303,-0.017149926044634375,-0.024223251342773436
-0.017130051044634376,-2.619688129425049,-0.017129926044634376,-0.024223251342773436
-0.017110051044634377,-2.619688129425049,-0.017109926044634377,-0.029192123413085937
-0.017090051044634378,-2.6246573066711427,-0.017089926044634378,-0.029192123413085937
-0.01707005104463438,-2.6246573066711427,-0.01706992604463438,-0.03416099548339844
-0.017050051044634376,-2.6246573066711427,-0.017049926044634376,-0.03416099548339844
-0.017030051044634377,-2.6296264839172365,-0.017029926044634377,-0.014285507202148436
-0.017010051044634378,-2.6345956611633303,-0.017009926044634378,-0.03416099548339844
-0.01699005104463438,-2.6345956611633303,-0.01698992604463438,-0.04906761169433593
-0.016970051044634376,-2.6345956611633303,-0.016969926044634376,-0.059005355834960936
-0.016950051044634377,-2.6246573066711427,-0.016949926044634377,-0.024223251342773436
-0.016930051044634378,-2.6345956611633303,-0.016929926044634377,-0.0043477630615234375
-0.01691005104463438,-2.6296264839172365,-0.016909926044634378,-0.019254379272460938
-0.016890051044634376,-2.6345956611633303,-0.016889926044634376,-0.07391197204589843
-0.016870051044634377,-2.6345956611633303,-0.016869926044634376,-0.07391197204589843
-0.016850051044634377,-2.6296264839172365,-0.016849926044634377,-0.014285507202148436
-0.016830051044634378,-2.6296264839172365,-0.016829926044634378,0.025465469360351562
-0.01681005104463438,-2.6246573066711427,-0.01680992604463438,-0.019254379272460938
-0.016790051044634376,-2.6296264839172365,-0.016789926044634376,-0.10372520446777343
-0.016770051044634377,-2.6345956611633303,-0.016769926044634377,-0.08384971618652344
